station;valid_date;valid_time_new;valid_date_time;tmpf;dwpf;relh;drct;sknt;p01i;alti;mslp;vsby;gust;skyc1;skyc2;skyc3;skyc4;skyl1;skyl2;skyl3;skyl4;wxcodes;ice_accretion_1hr;ice_accretion_3hr;ice_accretion_6hr;peak_wind_gust;peak_wind_drct;peak_wind_time;feel;metar;airport;snowdepth
JFK;01.01.2023;15:51;01.01.2023 15:51;54.00;41.00;61.32;290.00;10.00;0.00;29.94;1013.90;10.00;19.00;FEW;SCT;BKN;;3100.00;13000.00;25000.00;;;;;;;;;54.00;KJFK 011551Z 29010G19KT 10SM FEW031 SCT130 BKN250 12/05 A2994 RMK AO2 SLP139 T01220050;JFK;
LGA;01.01.2023;15:51;01.01.2023 15:51;51.00;39.00;63.12;320.00;12.00;0.00;29.94;1013.70;10.00;;FEW;SCT;SCT;BKN;2700.00;8000.00;20000.00;25000.00;;;;;;;;51.10;KLGA 011551Z 32012KT 10SM FEW027 SCT080 SCT200 BKN250 11/04 A2994 RMK AO2 SLP137 T01060039;LGA;
JFK;01.01.2023;16:51;01.01.2023 16:51;55.00;39.00;54.70;290.00;14.00;0.00;29.92;1013.30;10.00;;FEW;FEW;FEW;;3000.00;13000.00;25000.00;;;;;;;;;55.00;KJFK 011651Z 29014KT 10SM FEW030 FEW130 FEW250 13/04 A2992 RMK AO2 SLP133 T01280039;JFK;
LGA;01.01.2023;16:51;01.01.2023 16:51;51.00;36.00;56.10;320.00;10.00;0.00;29.92;1013.00;10.00;;FEW;FEW;SCT;SCT;3400.00;8000.00;15000.00;20000.00;;;;;;;;51.10;KLGA 011651Z 32010KT 10SM FEW034 FEW080 SCT150 SCT200 SCT250 11/02 A2992 RMK AO2 SLP130 T01060022;LGA;
LGA;01.01.2023;17:51;01.01.2023 17:51;52.00;35.00;52.36;310.00;16.00;0.00;29.93;1013.40;10.00;20.00;FEW;FEW;FEW;;3600.00;16000.00;20000.00;;;;;;;;;52.00;KLGA 011751Z 31016G20KT 10SM FEW036 FEW160 FEW200 11/02 A2993 RMK AO2 SLP134 T01110017 10117 20100 51002;LGA;
JFK;01.01.2023;17:51;01.01.2023 17:51;55.00;39.00;54.70;290.00;13.00;0.00;29.94;1013.70;10.00;;FEW;FEW;SCT;;3000.00;13000.00;25000.00;;;;;;;;;55.00;KJFK 011751Z 29013KT 10SM FEW030 FEW130 SCT250 13/04 A2994 RMK AO2 SLP137 T01280039 10133 20067 51003;JFK;
JFK;01.01.2023;18:51;01.01.2023 18:51;55.00;36.00;48.62;300.00;9.00;0.00;29.93;1013.30;10.00;;FEW;FEW;SCT;;3000.00;13000.00;25000.00;;;;;;;;;55.00;KJFK 011851Z 30009KT 10SM FEW030 FEW130 SCT250 13/02 A2993 RMK AO2 SLP133 T01280022;JFK;
LGA;01.01.2023;18:51;01.01.2023 18:51;53.00;34.00;48.13;310.00;12.00;0.00;29.92;1013.10;10.00;;FEW;FEW;FEW;;4000.00;15000.00;20000.00;;;;;;;;;53.10;KLGA 011851Z 31012KT 10SM FEW040 FEW150 FEW200 12/01 A2992 RMK AO2 SLP131 T01170011;LGA;
JFK;01.01.2023;19:51;01.01.2023 19:51;55.00;34.00;44.90;280.00;10.00;0.00;29.94;1013.60;10.00;;FEW;SCT;;;13000.00;25000.00;;;;;;;;;;55.00;KJFK 011951Z 28010KT 10SM FEW130 SCT250 13/01 A2994 RMK AO2 SLP136 T01280011;JFK;
LGA;01.01.2023;19:51;01.01.2023 19:51;53.00;30.90;42.48;320.00;10.00;0.00;29.93;1013.50;10.00;;FEW;FEW;SCT;;4000.00;15000.00;25000.00;;;;;;;;;53.10;KLGA 011951Z 32010KT 10SM FEW040 FEW150 SCT250 12/M01 A2993 RMK AO2 SLP135 T01171006;LGA;
LGA;01.01.2023;20:51;01.01.2023 20:51;51.00;32.00;47.81;310.00;9.00;0.00;29.94;1013.90;10.00;;FEW;FEW;;;12000.00;25000.00;;;;;;;;;;51.10;KLGA 012051Z 31009KT 10SM FEW120 FEW250 11/00 A2994 RMK AO2 SLP139 T01060000 53005;LGA;
JFK;01.01.2023;20:51;01.01.2023 20:51;54.00;33.00;44.92;300.00;9.00;0.00;29.95;1014.20;10.00;;FEW;SCT;;;13000.00;25000.00;;;;;;;;;;54.00;KJFK 012051Z 30009KT 10SM FEW130 SCT250 12/01 A2995 RMK AO2 SLP142 T01220006 53005;JFK;
LGA;01.01.2023;21:51;01.01.2023 21:51;51.00;30.90;45.73;340.00;7.00;0.00;29.96;1014.30;10.00;;BKN;BKN;;;12000.00;25000.00;;;;;;;;;;51.10;KLGA 012151Z 34007KT 10SM BKN120 BKN250 11/M01 A2996 RMK AO2 SLP143 T01061006;LGA;
JFK;01.01.2023;21:51;01.01.2023 21:51;52.00;33.00;48.34;310.00;7.00;0.00;29.97;1014.80;10.00;;BKN;BKN;;;12000.00;25000.00;;;;;;;;;;52.00;KJFK 012151Z 31007KT 10SM BKN120 BKN250 11/01 A2997 RMK AO2 SLP148 T01110006;JFK;
JFK;01.01.2023;22:51;01.01.2023 22:51;47.00;33.00;58.47;0.00;0.00;0.00;29.98;1015.20;10.00;;BKN;BKN;;;11000.00;25000.00;;;;;;;;;;46.90;KJFK 012251Z 00000KT 10SM BKN110 BKN250 08/01 A2998 RMK AO2 SLP152 T00830006;JFK;
LGA;01.01.2023;22:51;01.01.2023 22:51;50.00;30.90;47.64;20.00;3.00;0.00;29.96;1014.60;10.00;;FEW;FEW;;;11000.00;25000.00;;;;;;;;;;50.00;KLGA 012251Z 02003KT 10SM FEW110 FEW250 10/M01 A2996 RMK AO2 SLP146 T01001006;LGA;
JFK;01.01.2023;23:51;01.01.2023 23:51;47.00;38.00;70.73;260.00;10.00;0.00;30.01;1016.20;10.00;;FEW;FEW;;;11000.00;25000.00;;;;;;;;;;41.65;KJFK 012351Z 26010KT 10SM FEW110 FEW250 08/03 A3001 RMK AO2 SLP162 T00830033 10133 20072 53021;JFK;
LGA;01.01.2023;23:51;01.01.2023 23:51;50.00;30.90;47.64;0.00;0.00;0.00;29.99;1015.50;10.00;;FEW;FEW;;;10000.00;25000.00;;;;;;;;;;50.00;KLGA 012351Z 00000KT 10SM FEW100 FEW250 10/M01 A2999 RMK AO2 SLP155 T01001006 10122 20078 53017;LGA;
JFK;02.01.2023;0:51;02.01.2023 00:51;43.00;37.00;79.19;230.00;8.00;0.00;30.03;1016.80;10.00;;FEW;FEW;;;11000.00;25000.00;;;;;;;;;;37.66;KJFK 020051Z 23008KT 10SM FEW110 FEW250 06/03 A3003 RMK AO2 SLP168 T00610028;JFK;
LGA;02.01.2023;0:51;02.01.2023 00:51;50.00;32.00;49.81;260.00;6.00;0.00;30.01;1016.10;10.00;;FEW;FEW;;;10000.00;25000.00;;;;;;;;;;50.00;KLGA 020051Z 26006KT 10SM FEW100 FEW250 10/00 A3001 RMK AO2 SLP161 T01000000;LGA;
LGA;02.01.2023;1:51;02.01.2023 01:51;50.00;33.00;52.06;250.00;6.00;0.00;30.02;1016.60;10.00;;SCT;BKN;BKN;;5500.00;9500.00;25000.00;;;;;;;;;50.00;KLGA 020151Z 25006KT 10SM SCT055 BKN095 BKN250 10/01 A3002 RMK AO2 SLP166 T01000006;LGA;
JFK;02.01.2023;1:51;02.01.2023 01:51;44.00;38.00;78.66;240.00;9.00;0.00;30.04;1017.10;10.00;;SCT;SCT;;;9000.00;25000.00;;;;;;;;;;38.56;KJFK 020151Z 24009KT 10SM SCT090 SCT250 07/03 A3004 RMK AO2 SLP171 T00670033;JFK;
JFK;02.01.2023;2:51;02.01.2023 02:51;46.00;38.00;73.18;250.00;7.00;0.00;30.04;1017.20;10.00;;BKN;BKN;BKN;;6000.00;7000.00;25000.00;;;;;;;;;41.84;KJFK 020251Z 25007KT 10SM BKN060 BKN070 BKN250 08/03 A3004 RMK AO2 SLP172 T00780033 51010;JFK;
LGA;02.01.2023;2:51;02.01.2023 02:51;51.00;32.00;47.81;270.00;6.00;0.00;30.03;1016.70;10.00;;BKN;BKN;;;6000.00;25000.00;;;;;;;;;;51.10;KLGA 020251Z 27006KT 10SM BKN060 BKN250 11/00 A3003 RMK AO2 SLP167 T01060000 51012;LGA;
JFK;02.01.2023;3:51;02.01.2023 03:51;45.00;38.00;76.01;230.00;7.00;0.00;30.05;1017.50;10.00;;OVC;;;;6000.00;;;;;;;;;;;40.63;KJFK 020351Z 23007KT 10SM OVC060 07/03 A3005 RMK AO2 SLP175 T00720033;JFK;
LGA;02.01.2023;3:51;02.01.2023 03:51;51.00;34.00;51.81;280.00;5.00;0.00;30.03;1016.90;10.00;;OVC;;;;5500.00;;;;;;;;;;;51.10;KLGA 020351Z 28005KT 10SM OVC055 11/01 A3003 RMK AO2 SLP169 T01060011;LGA;
